fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.67119,0.00689,0.01016,0.90124,0.00055,2.8843,0.91815,8.34681,0.50452,1.94058,0.02361,0.23094,0.45953,0.0,0.12968,0.46659,0.0,0.0,0.0,0.41128,0.0,0.90814,0.0,0.0
0.65054,0.00743,0.01151,0.9472,0.0006,2.63101,0.81936,7.13325,0.50483,2.16023,0.01776,0.31235,0.44902,0.0,0.14571,0.37195,0.0,0.0,0.0,0.43309,0.0,0.79685,0.0,0.0
0.66922,0.00675,0.01239,0.92048,0.0005,2.4795,0.8543,5.6738,0.5698,1.926,0.01663,0.30309,0.53824,0.0,0.12968,0.37786,0.0,0.0,0.0,0.37338,0.0,0.89038,0.0,0.0
0.6722,0.00689,0.00993,0.93718,0.00062,2.51645,0.88727,7.20581,0.57127,1.81296,0.02047,0.31946,0.36482,0.0,0.11441,0.37821,0.0,0.0,0.0,0.34618,0.0,0.99494,0.0,0.0
0.66443,0.00709,0.01151,0.93718,0.00066,2.37695,0.88727,7.94867,0.64185,1.54388,0.01386,0.3196,0.40285,0.0,0.12842,0.41084,0.0,0.0,0.0,0.31364,0.0,1.0,0.0,0.0
0.65516,0.00728,0.0112,0.92721,0.00061,2.71512,0.89161,8.14207,0.50483,2.16023,0.01783,0.30415,0.41411,0.0,0.11507,0.36709,0.0,0.0,0.0,0.36737,0.0,0.96839,0.0,0.0
0.68479,0.00792,0.01151,0.97436,0.00042,2.56311,0.95,9.49412,0.49054,2.18245,0.01899,0.26952,0.40377,0.0,0.08622,0.3555,0.0,0.0,0.0,0.26632,0.0,0.96212,0.0,0.0
0.70122,0.00667,0.01166,0.93557,0.00061,2.64673,0.59173,8.14207,0.34772,2.08017,0.01838,0.31783,0.41716,0.0,0.12968,0.34038,0.0,0.0,0.0,0.23927,0.0,1.0,0.0,0.0
0.66602,0.006,0.01003,0.98,0.00043,3.46218,0.72165,9.02794,0.32664,2.08017,0.01566,0.3388,0.49464,0.0,0.1194,0.34038,0.0,0.0,0.0,0.25609,0.0,1.0,0.0,0.0
0.6903,0.00695,0.01076,0.91337,0.00057,2.596,0.63791,8.14207,0.33577,2.08017,0.01838,0.33542,0.41907,0.0,0.17672,0.34745,0.0,0.0,0.0,0.22263,0.0,1.0,0.0,0.0
0.65718,0.00618,0.01123,0.90614,0.00061,2.84134,0.59173,8.02948,0.27656,2.34069,0.01838,0.3127,0.51618,0.0,0.12339,0.439,0.0,0.0,0.0,0.22048,0.0,0.70264,0.0,0.0
0.67858,0.00734,0.01222,0.93718,0.00056,2.69601,0.95,8.14207,0.44783,2.06101,0.01869,0.34457,0.40377,0.0,0.12968,0.31844,0.0,0.0,0.0,0.36737,0.0,0.98282,0.0,0.0
0.68022,0.00652,0.01135,0.93425,0.00061,2.73944,0.59105,8.16125,0.34772,2.0943,0.01893,0.31783,0.43832,0.0,0.12862,0.33381,0.0,0.0,0.0,0.23791,0.0,0.99804,0.0,0.0
0.693,0.00718,0.01151,0.90675,0.00065,2.86473,0.83839,4.96488,0.64524,2.16023,0.01825,0.30696,0.50002,0.0,0.17543,0.32877,0.0,0.0,0.0,0.20521,0.0,1.0,0.0,0.0
0.67945,0.00704,0.01151,0.928,0.00062,2.61155,0.83677,8.14207,0.50466,2.16483,0.01952,0.32831,0.41559,0.0,0.12665,0.37319,0.0,0.0,0.0,0.38045,0.0,1.0,0.0,0.0
0.67875,0.00481,0.00883,0.93557,0.00062,2.61393,0.69516,8.45912,0.30809,1.5306,0.01952,0.31783,0.41716,0.0,0.12968,0.41044,0.0,0.0,0.0,0.23927,0.0,1.0,0.0,0.0
0.68324,0.00718,0.00906,0.89373,0.0006,3.33241,0.83839,3.54025,0.64524,2.16023,0.01744,0.30696,0.43518,0.0,0.16849,0.37895,0.0,0.0,0.0,0.22711,0.0,1.0,0.0,0.0
